"Date","RegionName","State","Metro","County","SizeRank","Zri","MoM","QoQ","YoY","ZriRecordCnt"
2019-01-31,"Ceres","CA","Modesto","Stanislaus County",1293,1535,0.0192563081009296,0.0608154803040774,0.0855728429985856,9021
2019-01-31,"Wilkes-Barre","PA","Scranton--Wilkes-Barre--Hazleton","Luzerne County",1294,816,0.0212765957446809,0.075098814229249,0.0894526034712951,10708
2019-01-31,"Salem","MA","Boston-Cambridge-Newton","Essex County",1295,2384,0.00294488851493479,0.0140365801786474,0.0253763440860215,5388
2019-01-31,"Middle River","MD","Baltimore-Columbia-Towson","Baltimore County",1296,1661,0.0024140012070006,0.00788834951456311,0.014041514041514,12604
2019-01-31,"San Pablo","CA","San Francisco-Oakland-Hayward","Contra Costa County",1297,2596,0.0128755364806867,0.0413156839149619,0.061758691206544,11834
2019-01-31,"Monroe","NJ","New York-Newark-Jersey City","Middlesex County",1298,2344,0.000426803243704652,0.00170940170940171,-0.0113876001687052,15537
2019-01-31,"Norwich","CT","Norwich-New London","New London County",1299,1319,0.0115030674846626,0.0394011032308905,-0.0538020086083214,7639
2019-01-31,"Sun City","AZ","Phoenix-Mesa-Scottsdale","Maricopa County",1300,1280,0.0174880763116057,0.0526315789473684,0.0631229235880399,18396
2019-01-31,"Streamwood","IL","Chicago-Naperville-Elgin","Cook County",1301,1684,0.00597371565113501,0.0224650880388585,0.0206060606060606,9619
2019-01-31,"Moorhead","MN","Fargo","Clay County",1302,1302,0.0023094688221709,0.0038550501156515,0.00852052672347018,11612
2019-01-31,"Rancho Palos Verdes","CA","Los Angeles-Long Beach-Anaheim","Los Angeles County",1303,4804,0.00988017658187934,0.0278134360290971,0,12582
2019-01-31,"Henderson","NC","Henderson","Vance County",1304,983,0.0175983436853002,0.0479744136460554,0.076670317634173,6446
2019-01-31,"Mundelein","IL","Chicago-Naperville-Elgin","Lake County",1305,1836,-0.00271591526344378,-0.00433839479392625,0.036117381489842,11008
2019-01-31,"New Berlin","WI","Milwaukee-Waukesha-West Allis","Waukesha County",1306,1694,0.00773349196906603,0.0291616038882139,0.00893388921977368,12291
2019-01-31,"Los Banos","CA","Merced","Merced County",1307,1463,0.0173852573018081,0.0555555555555556,0.0829015544041451,10322
