"RegionName","State","Metro","CountyName","SizeRank","2010-01","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09","2016-10","2016-11","2016-12","2017-01","2017-02","2017-03","2017-04","2017-05","2017-06","2017-07","2017-08","2017-09","2017-10","2017-11","2017-12","2018-01","2018-02","2018-03","2018-04","2018-05","2018-06","2018-07","2018-08","2018-09","2018-10","2018-11","2018-12","2019-01"
"New York","NY","New York-Newark-Jersey City","Queens County",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,859000,872000,849000,815000,849000,850000,869000,849900,849000,901500,950000,975000,999000,1017500,995500,980000,995000,1010000,1016620,995000,998888,1098500,1155000,1100000,1125000,1100000,1098000,1057000,1109888,1150000,1175000,1195000,1199000
"Los Angeles","CA","Los Angeles-Long Beach-Anaheim","Los Angeles County",2,338950,320000,344900,349000,349000,339000,339000,339900,340000,330000,329000,319000,315000,319900,315000,310000,324900,327000,325000,325000,319000,304900,306650,299000,299000,295000,299000,299900,306000,325000,325261.5,334900,339000,325000,333000,335000,349000,350000,379000,399000,399900,409000,425000,425000,429997,434400,429000,419000,422000,439000,449000,460000,469964,475000,479000,470000,469000,469000,465000,450000,439500,454950,475000,489900,499900,499969,509475,505000,515000,519000,515000,520000,515000,528000,523500,530000,537500,549000,550000,550000,549949.5,569000,557277.5,559000,579000,579999,585000,599000,599215,599999.5,599900,599000,599000,615000,619000,599894,605000,642500,640000,649250,649900,658500,659250,659700,665000,679000,679000,679000,675000
"Houston","TX","Houston-The Woodlands-Sugar Land","Harris County",3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,214900,215000,220000,225000,230000,243000,239900,243950,240000,246250,245000,235000,239900,237900,229900,219900,225300,233039,239950,245000,245000,229900,234700,234900,229500,229900,235000,234900,235000,239000,245000,240000,245000,247500,235000,233000,235000,239999.5,229999,234850
"San Antonio","TX","San Antonio-New Braunfels","Bexar County",4,88000,88200,88200,89000,89900,90000,91999,90000,89900,89900,90000,89900,89900,89900,89900,89500,89000,89000,89750,89900,89000,89000,89500,86500,87000,88000,87700,87900,87500,89900,89900,89750,89000,85000,85000,85000,85000,87500,89500,90000,95000,96900,95000,92750,93000,95000,95900,99000,99500,99500,104000,105000,107900,105000,105000,105000,103500,99000,99500,102500,101000,111950,109000,106000,105500,109500,119000,109900,124850,118500,114937.5,119000,119900,123500,119825,129000,134450,135000,134900,132000,127000,130000,134900,140000,142400,149900,142500,142500,147000,149900,149900,144500,146000,140000,141000,140000,140000,140000,139999,140000,143000,149144,149000,145000,149000,149900,149925,155000,154900
"Philadelphia","PA","Philadelphia-Camden-Wilmington","Philadelphia County",5,199900,219900,229900,225000,220000,219950,229000,2e+05,210000,204499,203450,209700,199900,199999.5,199900,184900,199900,199900,194750,194625,184900,184950,189900,185000,195000,188000,198450,199000,199900,191450,189000,189000,187400,189900,194950,184900,189900,189900,199900,206250,213000,209900,189900,185000,189900,194900,197000,199000,189900,199974,220000,232000,230000,225000,209900,2e+05,209450,219000,219900,219900,199900,214900,230000,237500,239900,234900,230000,229900,234900,239900,239900,239000,234900,235000,240000,245000,249994.5,256500,255000,249900,249000,259900,250000,250000,259900,258000,287500,299900,299900,295000,299000,289900,304000,314000,315000,299900,299900,310000,315000,3e+05,315000,310000,3e+05,299450,299900,299999,299997,299000,3e+05
"Phoenix","AZ","Phoenix-Mesa-Scottsdale","Maricopa County",6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,302102.5,265000,297770,280000,246550,249500,259000,242900,242900,243000,265000,259500
"Las Vegas","NV","Las Vegas-Henderson-Paradise","Clark County",7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,105000,104900,105000,110000,110000,112000,112947.5,105000,114900,116950,117650,115000,115000,119900,119994.5,120000,124900,125950,125000,124600,124994.5,125000,125000,128500,129900,130000,137500,139250,139970,139900,140000,143900,145000,150000,155000,155000,150000,155000,159900,168000,170000,175000,179000,180000,184999.5,189000,190000,197000,199900,198450,199900,195250,194850,195000,199999,204900,204988,199900,199000,198900,199500,199999
"San Diego","CA","San Diego-Carlsbad","San Diego County",8,335000,339450,339000,339900,349000,340000,340000,340000,330000,325000,320000,310000,3e+05,298336,295000,299900,295000,296000,299000,289900,277550,274900,275000,278450,280000,279000,285000,279900,290000,299000,3e+05,309000,299900,3e+05,3e+05,310000,325000,339000,345750,349990,359000,360000,375000,375000,379000,379000,370000,379000,389000,399000,399900,399000,379900,394950,405000,405000,4e+05,399000,410000,399900,399000,399900,415000,429000,435000,411000,442500,429999,430000,436000,437400,448000,449000,449000,449000,459000,459000,465000,460000,460000,459000,462500,460000,459900,475000,469900,469000,473000,492043,499900,499500,499000,499000,499949.5,499999,499500,518000,525000,527450,529000,565000,569000,569900,560000,569000,554000,559000,559000,579000
"Dallas","TX","Dallas-Fort Worth-Arlington","Dallas County",9,179900,179900,185000,179900,179000,179900,175000,169900,174700,168900,167250,159999.5,153950,159000,159000,164900,168950,165000,165000,159900,155375,158500,159000,164900,154900,155000,159900,161450,165900,162500,150000,155000,159000,159900,159950,159950,160000,169000,175000,179900,179700,178000,179700,180000,192000,195000,199500,186500,175000,190000,195000,195000,206000,188500,174900,184950,174900,177990,179000,179000,193750,198500,206500,225000,225000,220000,215000,211000,225000,232000,239000,239900,230000,230000,252500,275000,289900,299700,298000,294497.5,3e+05,297000,285000,289900,309950,319500,319900,329900,339000,342500,335000,329000,324948.5,325000,325000,320000,325000,339900,340000,339000,339000,329000,315000,299450,309900,317250,325000,325000,325000
"San Jose","CA","San Jose-Sunnyvale-Santa Clara","Santa Clara County",10,303850,3e+05,309949.5,299900,299000,299000,299000,299000,290000,279888,275000,279000,275000,274449.5,270000,275000,279000,288894,289500,288400,279000,275000,269900,269444,269000,274900,275000,279900,299000,299000,299000,299000,298500,315700,332450,335000,349000,375000,378888,385000,399000,399000,399000,399000,4e+05,412250,426500,429000,435000,435000,449000,460000,459500,462000,459000,459000,475444,475000,460000,455000,450000,475000,489500,499000,499900,499950,499956,525000,549000,549000,549888,549000,549975,569975,578000,596944,605000,599000,598000,598000,598888,599000,599000,589000,589000,608888,608884,624944,635000,619000,635000,649000,638000,639888,655884,651415,660440,722450,719000,733999.5,699444,730000,750000,749000,705000,699919,699000,7e+05,739000
"Austin","TX","Austin-Round Rock","Travis County",11,195483.5,197000,199000,199000,199900,199900,209000,209000,199900,194900,199800,204950,199900,199500,199500,199900,204950,197499.5,195000,195999.5,194500,199900,197950,196500,194900,2e+05,206450,210000,209000,2e+05,199900,197945,209950,209950,220948,227750,252250,225250,220598,224000,249990,249990,254990,249990,249990,260990,267990,262990,275545.5,279900,281990,284990,291990,286990,289990,294990,294990,294990,285000,269000,280000,289990,297350,3e+05,299990,299990,299000,302990,309945,330000,330950,334445,336299,334949.5,338595,332000,319346,338995,346250,349949.5,364949.5,350000,359000,350000,359000,360000,369790,366055,359900,349900,368000,350000,360000,360000,361995,369000,374945,385555,374999.5,367450,365000,368000,363000,368000,369495,375000,375000,375000,375000
"Jacksonville","FL","Jacksonville","Duval County",12,89900,89000,85000,85000,80000,79900,79900,79900,79000,74900,74700,70000,70000,71500,72900,69900,69900,69500,69900,69750,67825,65529,65000,62500,65264.5,62500,59900,63700,62500,62000,64900,64900,64900,64900,59900,65000,68000,65000,65000,67900,69800,73750,69900,69900,64900,59950,62300,60300,62050,65000,69900,69900,69000,69900,75000,74900,74250,75000,74900,74000,74900,75000,78420,82750,83900,82500,82000,85000,85000,90000,90000,88850,89900,91700,97950,98900,99000,1e+05,98900,97000,97990,94945,89950,97995,98995,98990,1e+05,106000,110000,110000,109250,114999,115000,110900,112000,114900,114000,114900,115000,115000,118990,126900,125000,124900,123990,124250,124900,120000,120000
"San Francisco","CA","San Francisco-Oakland-Hayward","San Francisco County",13,749000,749000,749000,749000,749000,755000,750000,749000,749000,749000,749000,739000,725000,699000,699000,699000,699000,699000,699000,710000,699000,699000,699000,699000,699000,710000,722450,729000,759000,788275,788275,789000,765000,789000,783500,829000,839000,849000,849999,849000,799000,835000,850000,849000,899000,895000,899000,899000,899000,975000,949000,899000,899000,949000,948000,897000,929000,959000,994900,1025000,1035000,999000,1049000,998000,998000,998000,998000,1011500,1095000,1095000,1095000,1095000,999000,1099000,1149000,1195000,1195000,1186500,1125000,1129000,1100000,1098000,1099000,1118000,1127000,1200000,1218500,1199000,1202500,1199000,1199000,1217500,1195000,1199000,1250000,1300000,1350000,1299000,1295000,1286500,1299250,1295000,1295000,1300000,1295000,1267515,1237000,1215000,1217000
"Indianapolis","IN","Indianapolis-Carmel-Anderson","Marion County",14,70000,72500,74900,78900,78000,77900,75900,74900,77900,77900,79900,70000,69900,71900,75000,78000,79900,80000,79900,79900,78925,75000,69999,69900,68949.5,69900,70000,77900,78000,75000,74900,75000,74000,74899,72900,72500,72800,75000,75000,79000,79900,83400,83790,81900,81950,82900,79900,78900,76900,79000,82000,84900,84900,85450,83800,81900,79900,79500,79900,75000,75000,74900,79000,82000,84950,84200,79900,75900,74900,73000,72300,69900,67900,64900,67900,68000,69900,69900,69900,69900,69500,69900,69900,69900,72500,78250,79500,84500,89000,89900,89499,89900,94900,95000,94900,89500,90000,99900,106900,106271.5,104900,104450,109000,110000,115000,113000,114900,106000,108500
"Charlotte","NC","Charlotte-Concord-Gastonia","Mecklenburg County",15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,175000,170000,175000,180000,176250,169900,169900,169900,167950,165000,180000,165000,176500,188950,184400,179900,179900,185000,183450,184900,179000,185000,209900,215000,215900,217297.5,223000,214450,209900,209000,219900,218500,219900,224700,219900
"Fort Worth","TX","Dallas-Fort Worth-Arlington","Tarrant County",16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,215000,217063,219900,238000,214528,212150,219950,214700,199000,212250,209900,219995,229000,234950,229000,235000,239900,239900,250000,253250,249950,249950,239900
"Columbus","OH","Columbus","Franklin County",17,99900,99900,1e+05,103400,102200,99900,99900,99500,97900,99900,96900,94500,89900,94900,92950,91500,94900,95300,95000,93000,92500,91900,89900,84900,84900,84825,88850,89900,92500,93900,90000,89900,86900,86900,79900,79000,79000,79900,84500,85000,89900,89900,89900,88900,87900,86450,84900,84900,83900,84900,87000,89900,93950,99625,99000,95000,91500,91900,89900,87000,87250,89900,94900,98500,104950,104950,105000,1e+05,101035,98900,97500,94900,95000,99900,112900,117445,114900,114900,114900,114900,117950,119900,123900,116950,109900,115950,117000,124900,129900,134900,135000,136400,135000,144000,141250,129900,129900,134900,139800,141500,137900,143500,139800,134900,134900,129900,129900,132900,135000
"Tucson","AZ","Tucson","Pima County",18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,125000,119500,124450,124900,119900,117900,109000,106450,109900,120000,136450,126700,131200,130450,132500,130000,139900,129950,143750,141200,141200,129950,129900,150000,160000,154500,131900,139900,149000,154400,152000,139900,142900,145000,158950,159900,161150
"Louisville","KY","Louisville/Jefferson County","Jefferson County",19,169987,174500,172770,172770,179900,187000,199000,194950,188000,189900,185000,175000,174900,175000,179900,189000,189000,189250,189500,198250,199900,194000,196000,180000,179700,187000,195000,199000,182500,184900,192400,189950,179950,185000,199900,190000,184950,179900,186500,190000,197500,190000,2e+05,191000,199900,213449.5,199250,174900,165950,167250,174750,199000,195950,214000,219450,219450,219000,215000,220000,219950,229900,225000,236950,239900,257900,269900,260000,249900,260000,264900,256950,252475,260000,248250,248000,259500,264700,267000,259500,255500,254950,249900,260000,239950,250000,262500,269900,289950,304173.5,299900,3e+05,299000,289000,286450,288450,275000,274900,285900,289900,298750,305000,308990,309450,299900,297950,305945,315000,309000,298750
"El Paso","TX","El Paso","El Paso County",20,94450,90000,90000,90000,89900,87500,88000,89875,89949.5,87750,88000,88000,89900,89900,92975,98000,99900,101900,99450,99700,99000,89900,89947.5,90000,89500,89500,89900,89950,92000,89900,89900,92950,93050,89500,90000,91550,86775,85000,85887.5,85000,84400,84400,82950,84000,86900,89499.5,95000,98700,96500,95500,89000,89000,99000,105000,1e+05,95000,1e+05,89950,90000,95000,95000,94950,95000,99995,104995,104995,105000,1e+05,92500,92500,89900,90000,98995,88000,93000,89900,89450,87250,88745,89990,89745,88750,92500,101450,101450,99500,107200,97500,96500,97000,94000,94250,94500,97750,96000,100200,99800,99950,99900,99800,99850,111750,114950,115000,116250,111775,99950,105250,114900
"Orlando","FL","Orlando-Kissimmee-Sanford","Orange County",21,70000,70000,69900,69000,69000,65000,64900,64900,60450,62900,64925,64900,64900,63000,62000,59900,60000,60000,59950,60000,60000,61625,59900,59000,59900,58950,59900,59900,60000,61875,63000,65000,69900,69000,69900,78000,71900,74000,75000,75000,78250,79900,81500,84900,85000,87000,84900,80000,85000,85000,86000,85250,87000,85000,91500,90000,91950,94900,89500,90000,92000,89900,93500,96900,99000,99500,99950,105000,109990,110000,111900,119000,115000,112000,115000,119000,119900,119995,120000,120000,125000,124900,125000,125000,125000,129900,132000,135000,135000,130500,135000,139995,145000,149950,149400,144950,145000,147900,155000,149000,149900,159900,155000,159900,159500,154900,155000,155000,159900
"Denver","CO","Denver-Aurora-Lakewood","Denver County",22,249500,244950,239999.5,244500,249000,244500,239000,239000,239900,236000,229900,215500,214900,217500,215000,215000,225000,227000,225000,224900,224950,224900,219900,215000,214900,219900,224900,225000,239000,244900,240000,240000,240000,242450,239900,240000,239900,239900,259900,275000,279000,279900,291250,279000,279000,275000,269900,269000,274945.5,281450,299900,299900,325000,339000,325000,325000,330000,349000,349900,350000,364900,355000,367750,379000,375000,381995,379900,369950,365000,375000,385000,385000,395000,399999.5,405900,414999,422500,415000,410000,4e+05,410000,409000,409900,409900,415500,415000,430000,449000,440000,439900,442500,450000,449000,429000,425000,439500,449700,450000,459900,465000,460000,460000,450000,445000,449000,441937.5,442254,445000,445000
"Seattle","WA","Seattle-Tacoma-Bellevue","King County",23,375000,375000,350000,349900,349950,350000,349950,349000,339999.5,339950,339950,335000,329975,329900,326250,320000,325000,319950,319000,320000,324950,299950,299975,299950,299950,298750,3e+05,324000,325000,325000,325000,325000,332500,331800,329000,329000,339900,349000,349974.5,350000,365000,375000,374950,376300,375000,375000,359000,349925,350000,360000,370000,375000,374475,375000,379000,375000,387000,386000,379950,379900,399950,399950,405450,419000,419000,423725,430000,429700,439000,449725,468000,475000,477000,479950,479950,490000,499950,498750,499000,499000,519950,525900,529950,540000,539950,539475,549950,549950,555000,567000,575000,550000,549995,580000,595000,595000,6e+05,625000,642500,639000,650000,668500,675000,649000,645000,644500,648700,629974.5,629000
"Memphis","TN","Memphis","Shelby County",24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55000,57325,66000,63530,55000,55000,50500,49900,50000,50000,49900,50000,53000,51950,48000,49900,52831,52900,51500,52900,52865.5,53000,57205,57500,59900,62900,59458,52000,60000,64000,59900,57800,57900
"Boston","MA","Boston-Cambridge-Newton","Suffolk County",25,419000,415000,399900,399000,399000,399000,389000,369000,379000,379000,388800,388800,379000,379900,379000,385000,397000,399000,389000,389900,399000,409950,399900,409500,439000,449000,434500,429900,429000,435000,429900,429000,429500,449000,449000,449000,459000,495000,495000,498888,489000,498000,499000,499000,489500,489000,489000,499000,499000,549250,499000,490000,499000,479900,499000,499000,499900,507500,525000,550000,569000,597250,569000,565000,555000,550000,539000,581405,582202.5,579000,579999.5,588202.5,627750,639950,634000,665000,649000,629000,649000,679500,688597.5,675000,690000,669000,648720,699000,732450,719000,739000,735000,735000,795000,798950,799000,795000,799900,839000,799000,839000,799945,799000,799000,825000,799000,789900,769000,749900,749900,759000
"Washington","DC","Washington-Arlington-Alexandria","District of Columbia",26,312500,354477.5,375000,404950,414950,414900,399900,379000,379000,389000,379000,365000,349000,349000,350000,369900,384750,399000,399995,399000,419000,419000,409000,420000,439000,450000,459250,460000,462000,469000,474727.5,462000,474900,478988,487000,479000,469027.5,469950,482499.5,489950,499990,524900,512000,496000,499000,507000,499900,489000,499000,519500,525000,549000,524900,536500,522400,499900,502450,499900,489900,477250,459950,489000,5e+05,545000,559000,549000,515000,499999.5,539000,539898,525000,524900,525000,562500,569900,569900,575000,575000,579000,574620,575000,575000,568450,574727.5,579000,575000,579000,575000,590000,599000,579250,569900,580000,580000,575000,549900,549500,569900,589900,599000,599925,615000,599990,599900,614900,602960,599900,598995,599000
