RegionID,RegionName,StateName,SizeRank,2008-03,2008-04,2008-05,2008-06,2008-07,2008-08,2008-09,2008-10,2008-11,2008-12,2009-01,2009-02,2009-03,2009-04,2009-05,2009-06,2009-07,2009-08,2009-09,2009-10,2009-11,2009-12,2010-01,2010-02,2010-03,2010-04,2010-05,2010-06,2010-07,2010-08,2010-09,2010-10,2010-11,2010-12,2011-01,2011-02,2011-03,2011-04,2011-05,2011-06,2011-07,2011-08,2011-09,2011-10,2011-11,2011-12,2012-01,2012-02,2012-03,2012-04,2012-05,2012-06,2012-07,2012-08,2012-09,2012-10,2012-11,2012-12,2013-01,2013-02,2013-03,2013-04,2013-05,2013-06,2013-07,2013-08,2013-09,2013-10,2013-11,2013-12,2014-01,2014-02,2014-03,2014-04,2014-05,2014-06,2014-07,2014-08,2014-09,2014-10,2014-11,2014-12,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,2017-11,2017-12,2018-01,2018-02,2018-03,2018-04,2018-05,2018-06,2018-07,2018-08,2018-09,2018-10,2018-11,2018-12,2019-01
26779,Riverton,Utah,661,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,351500,348600,350900,333600,340500,348800,361300,370400,364600,360800,358700,374100,375200,374800,365e3,376100,385e3,397700,389900,385200,382600,389900,373900,371500,380700,394700,389800,383800,372300,378400,375700,393500,385500,382300,382400,390600,390500,386e3,391700,391500,387800,383400,386200,392300,402100,415700,426600,420900,420100,426200,432900,434400,436600,426400,429600,413100,435300,431600,437300,429100,430400,436700,452800,460300,466900,471e3,474300,481700,475600,483100,489900,510300,503300,505900,512400,
23789,Bowling Green,Ohio,662,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,186800,168900,182900,179900,176100,168300,167e3,164400,153e3,154500,159600,175300,180800,180500,199600,197600,201300,176600,183200,188900,191100,216900,211500,214200,183100,178800,18e4,185200,193200,19e4,189300,188200,193500,193200,198800,193400,192200,191700,196200,200600,201500,205100,198700,193600,189300,200500,219e3,228100,224500,205800,207100,205300,211400,197700,208100,225400,
28017,Woodinville,Washington,663,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,564400,555100,512700,514200,505200,512500,506100,524100,551300,587300,596e3,597e3,590600,567300,551500,504900,521300,539500,577800,627900,615100,632e3,602100,605600,614600,620300,634600,593800,593e3,594400,618100,617900,619600,620800,622e3,657200,666100,659300,612500,611100,636300,641500,677200,682800,710100,689400,697700,700700,694600,693200,705600,728e3,731e3,738400,743800,750500,760100,760500,754700,750800,778400,818900,831300,844e3,845100,830200,825700,825500,835600,855100,870400,915900,899700,898500,1025800,1027100,1028e3,883e3,908400,907300,880900,874800,881300,922300,92e4,921500,885e3
37370,Belton,Texas,664,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,202100,210700,215e3,233500,226300,231700,228200,229600,223600,22e4,258e3,260400,269100,230900,222e3,210400,212500,218e3,223100,225600,223500,228300,243800,243500,235400,218200,212e3,215300,209400,216e3,219900,232100,232500,235100,229700,231e3,239600,230100,239200,226200,252500,240300,250500,241800,254600,237900,252300,241100,238800,222500,225500,242400,240900,246700,240300,252700,264700,
46588,Montgomery,Texas,665,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,367400,367100,377900,365200,367400,362100,378900,377900,381800,380200,383600,381800,384600,384800,385500,388400,392e3,406500,418700,421200,390300,384300,358900,384400,375800,399100,393300,399e3,388300,395900,390500,429500,413700,430800,388800,419100,395200,414e3,387100,419700,408600,440400,431300,
18375,Great Neck,New York,666,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,730800,729900,770400,808300,823100,859600,892300,960900,1003400,987700,927300,843300,915700,866700,896200,820400,923e3,935100,961900,1002400,1021300,1017900,956300,929100,923600,927e3,994300,943400,992400,978400,1043200,1105400,1098900,1067e3,1033200,991300,961400,927100,915e3,991200,963100,946e3,1009100,1019800,1082100,1006500,1106900,1170500,1253500,1213300,1174400,1160700,1105300,1126300,1026200,1018e3,1008e3,1073300,1099500,1179300,1133200,1202800,1140600,1179900,1186500,1195100,1185700,1130300,1402500,1372200,1373800,1047600,1200700,1173800,1197200,1033e3,1103800,1157700,1272600,1332200,1383300,
33178,Northbrook,Illinois,667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,477500,474400,468700,509400,528200,533100,521e3,517100,505100,488100,485300,475700,488600,482400,489600,473500,501800,496e3,506500,477300,491900,481400,484400,478400,462900,466700,477e3,505200,508300,497700,502e3,517e3,521100,504500,494400,497700,505700,495400,485400,479500,469e3,463400,461200,485600,495100,499700,508900,538600,543600,531400,481300,500200,499300,543200
13181,Papillion,Nebraska,668,,,,,,,,,,,,,,257600,237100,221800,223e3,222100,231700,227700,220600,208800,204500,228400,232300,237800,224900,224e3,229100,226e3,224600,222100,221700,213100,220800,227900,246200,233400,223100,214600,221100,234100,235300,234e3,215600,204e3,216500,232600,238e3,235e3,223600,227800,228400,234200,237900,227300,232400,232500,237300,232500,226500,224600,219200,219900,222300,224900,231100,233700,234900,232900,222800,236700,235200,247500,236700,240700,237700,243900,239600,244100,239700,243500,244900,273600,276e3,275600,256500,256100,260600,252400,251300,249e3,253300,256200,269200,267200,264100,248900,250800,263400,264300,260900,257500,254400,268600,264e3,268100,255200,264100,273100,278e3,272500,272e3,278300,280900,283500,284200,286200,281800,277300,274500,271400,282400,289500,294400,292900,294500,290100,289500,,
34718,Wentzville,Missouri,669,,,,,,,,,,,,,,254700,243600,247200,234e3,244300,248600,263e3,256300,248400,256500,253900,259e3,247500,244500,239500,244400,251200,254400,247400,244900,241700,236700,228200,226300,227e3,231200,228600,239700,245600,246900,247100,250900,245700,223900,210200,215900,232e3,237400,239200,236500,238400,249800,241600,236800,230100,231800,236900,230600,226600,229200,223900,228500,240900,243900,241900,220200,217800,238200,242700,246600,233300,239800,244900,243900,243700,248600,251600,253800,253700,252400,244700,249400,248e3,250100,239400,247500,248900,251800,249e3,254900,254900,254600,258900,262100,264e3,257700,262300,260700,265700,264600,267800,260300,258e3,260100,263700,260900,263100,264300,272700,268400,272100,264100,266200,272700,286200,296500,285100,282700,277400,283100,284600,280800,285200,281500,283200,281500,279700,287400
54320,Saratoga Springs,New York,670,,,,,,,,,,,,,,,,,,,,,366300,386800,422400,410400,397800,350200,349500,384800,385800,398e3,358600,373700,365400,371100,348e3,357300,352300,355400,352400,355300,369900,344500,348e3,345400,356900,354e3,346e3,332400,328300,321e3,321400,322600,326300,333200,339300,358600,391700,379200,365900,346700,352200,365e3,356500,361500,348400,365600,368e3,374700,360300,357e3,363700,370600,379400,366900,374400,373300,371600,356900,358400,381100,393300,390900,372100,396200,391e3,392e3,367900,400900,406900,407800,384800,378800,380400,378500,392500,382500,398800,395700,429300,429800,453200,418300,406900,390900,410900,419300,406800,408800,430100,441700,425e3,390300,385900,397800,404200,399200,401e3,405100,428700,417700,417700,411100,429900,453200,438300,443300,401300,,,,
