"RegionName","State","Metro","CountyName","SizeRank","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09","2016-10","2016-11","2016-12","2017-01","2017-02","2017-03","2017-04","2017-05","2017-06","2017-07","2017-08","2017-09","2017-10","2017-11","2017-12","2018-01","2018-02","2018-03","2018-04","2018-05","2018-06","2018-07","2018-08","2018-09","2018-10","2018-11","2018-12","2019-01"
"New York","NY","New York-Newark-Jersey City","Queens County",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.46153846153846,2.61885245901639,2.8325,2.76987179487179,3.08333333333333,3.3422619047619,3.18333333333333,3.14285714285714,3,2.78472222222222,2.66666666666667,2.5,2.5,2.54166666666667
"Los Angeles","CA","Los Angeles-Long Beach-Anaheim","Los Angeles County",2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.37756665645112,1.25709420784571,1.30423681147384,1.41184573002755,1.38931955211025,1.50867488056324,1.53863705408634,1.52374646446312,1.54267589388697,1.4875,1.46198830409357,1.38357526773775,1.45434462444772,1.43721633888048,1.48809523809524,1.44461644306846,1.45966029723992,1.58745247148289,1.55805318096588,1.58188337235251,1.62418790604698,1.60849114989479,1.54152945402092,1.57645841756047,1.64512338425382,1.57576828643555
"Chicago","IL","Chicago-Naperville-Elgin","Cook County",3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.01851851851852,0.983247422680412,0.921648550724638,0.917431192660551,0.962142857142857,0.944444444444444,0.942028985507246,0.877777777777778,0.880606220812406,0.864005110732538,0.931153951701427,1.04265569167943,1.13130662829558,1.04364471669219,1.09090909090909,1.05555555555556,1,0.99375,1.03550295857988,1.04364471669219,1,1.04761904761905,1.09080379472296,1.10114544485882,1.10597958191541,1.1,1.09875,1.09090909090909,1.04145299145299,1.04444444444444,1.06931260229133,1.10769230769231,1.07655677655678,1.00680186666637,1.04761904761905,1.22222222222222,1.22222222222222,1.24875,1.07837643678161,0.983086680761099,1.06394557823129,0.941176470588235,0.999615384615385,1.03125,1.03550295857988,1.06075075642965,1.0952380952381,1.10425531914894,1.13636363636364,1.18181818181818,1.1975,1.0952380952381,1.07241788682232,1.04166666666667,1.04464285714286,1.05882352941176,1.0952380952381,1.14285714285714,1.34807692307692,1.34423076923077,1.43478260869565,1.40256615878107,1.25,1.2,1.25,1.21428571428571,1.2982689747004,1.3337037037037
"Houston","TX","Houston-The Woodlands-Sugar Land","Harris County",4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.929781577140375,0.967429861335053,0.945763200848264,0.893487186172456,0.79347179051082,0.805267502883841,0.795711482679251,0.793537167022406,0.768106099762321,0.780340574640247,0.805471124620061,0.898981637862064,0.953261726638075,0.930049278300073,0.901617608061522,0.789335363311765,0.842954004031519,0.874050125610043,0.881390078065978,0.877674163466813,0.933488914819137,0.94642284247674,0.940832113736149,0.864779874213837,0.880662171403832,0.879330593071051,0.935070146069279,0.91776798825257,0.872760679834635,0.811188811188811,0.870384197729387,0.864779874213837,0.862600123228589,0.852882342244044,0.905040378724589,0.903750564844103,0.92213291321214,0.875486381322957,0.901510029299076,0.926601909818796,0.880818619582664,0.886699507389163,0.864649151978716,0.864779874213837,0.864442740665662,0.836972343522562,0.866393794918988,0.887200012048465,0.911401386769891,0.868007715624139,0.912032950867902,0.874681933842239,0.864779874213837,0.886802000449775,0.906956031281192,0.873942223519113
"San Antonio","TX","San Antonio-New Braunfels","Bexar County",5,,,,,,,,,,0.62778505897772,0.628708296387505,0.614720394736842,0.614720394736842,0.617474529175671,0.664474311921809,0.589171974522293,0.541292916795546,0.555722439170922,0.590868189592812,0.6428219801524,0.639705882352941,0.627549206885,0.608167270531401,0.603742045063639,0.590900611979232,0.580387940326823,0.582072176949942,0.640797680271365,0.578703703703704,0.57427258805513,0.611412144881911,0.60313630880579,0.616016427104723,0.654157716587631,0.654205607476635,0.659481667858542,0.623700623700624,0.620673841262077,0.600891074201298,0.605579443730297,0.61065964075784,0.603424080830761,0.592521226476146,0.592521226476146,0.590634240340211,0.607734806629834,0.628253455394005,0.654205607476635,0.638880438089443,0.614478551736677,0.6004828002414,0.594325153374233,0.607734806629834,0.607734806629834,0.624390838206628,0.640591583866738,0.646657754010695,0.644930132568972,0.642123287671233,0.613191912495857,0.611244452495245,0.599880931511508,0.596802108077925,0.592177335624473,0.607734806629834,0.632501505738264,0.607734806629834,0.653428377460964,0.630191922085362,0.6004828002414,0.662553925559392,0.644653761475512,0.625601539942252,0.665941832019571,0.6004828002414,0.657451112609575,0.607734806629834,0.655226209048362,0.669099756690998,0.653846153846154,0.664632794824291,0.665507108488065,0.670240427690879,0.684802566690176,0.690814040328603,0.654705185955186,0.6506164819746,0.659420289855073,0.645239834429024,0.659282700421941,0.686740623349181,0.673076923076923,0.664525975909882,0.680337590071031,0.680391653722858,0.657854803698555,0.659159571546278,0.678401173450678,0.631694589398517,0.633644859813084,0.653716847217034,0.653716847217034
"Philadelphia","PA","Philadelphia-Camden-Wilmington","Philadelphia County",6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.23062015503876,1.2749423150665,1.25,1.19565217391304,1.15640782828283,1.13821138211382,1.11369509043928,1.12676056338028,1.08948087431694,1.15218434949592,1.14349571246123,1.25,1.34969528351881,1.27365356622999,1.26390422443054,1.26262626262626,1.2962962962963,1.26518218623482,1.25,1.23922413793103,1.20614035087719,1.13230056980057,1.15740740740741,1.30641330166271,1.35670081092616,1.39539361960213,1.30270826191292
"Las Vegas","NV","Las Vegas-Henderson-Paradise","Clark County",7,0.634805410563442,0.655669818415404,0.710436060754532,0.681154719429127,0.684835280114015,0.641559424678274,0.629639114174305,0.650195058517555,0.668279970215934,0.661236471689155,0.657142857142857,0.661800136007183,0.671140939597315,0.653440116490717,0.651041666666667,0.633459122677523,0.648625279992572,0.6442417331813,0.632538982053545,0.634280865507,0.627615062761506,0.617113213451771,0.625,0.619024856596558,0.614984564872918,0.625588047550968,0.611487576637625,0.611668757841907,0.620229599751784,0.61646400586746,0.606704094042539,0.614232169759547,0.620403186178549,0.620107505929867,0.61381074168798,0.617665225447807,0.621414913957935,0.621069138308391,0.619356659142212,0.616045845272206,0.619834710743802,0.626606748506357,0.623143004884249,0.621875,0.62779776800286,0.634696755994358,0.631385369840621,0.637636080870918,0.629058441558442,0.641999517192845,0.626941457586619,0.616569009096684,0.613496932515337,0.619706928633625,0.618238021638331,0.637071651090343,0.638194247795104,0.623506513028649,0.637414698715635,0.643695939010824,0.649980055742681,0.648923936257598,0.636566687938736,0.636566687938736,0.648119176313094,0.652072659524918,0.662149954832882,0.669837564517513,0.667735042735043,0.68307181053346,0.690715482172769,0.662332973278733,0.684934129901961,0.658761528326746,0.664346725719709,0.660927152317881,0.64420218037661,0.670241286863271,0.661866855954976,0.687328167958011,0.701433792521788,0.71396697902722,0.707825403067243,0.70764449116674,0.706154943987344,0.706575100820432,0.708676140613313,0.725081699346405,0.723797099745379,0.723042496666599,0.718608169440242,0.72463768115942,0.729461513389258,0.728461239517603,0.74424898511502,0.732404430153626,0.756901157613535,0.753453878341754,0.744546979865772,0.764192139737991,0.768062283914577,0.77007700770077
"San Diego","CA","San Diego-Carlsbad","San Diego County",8,,,,,,1.23705408515535,1.3785046728972,1.3785046728972,1.46217030766574,1.428046989721,1.46345337619103,1.39746506337342,1.3625463265751,1.36676809062509,1.31651854290103,1.35212888377445,1.28317293671624,1.28766417718259,1.28910278446201,1.28963762659996,1.2718023255814,1.25950932986164,1.30684788290643,1.25963248369887,1.19606889878808,1.20347813591576,1.19521912350598,1.15633672525439,1.24480369515012,1.2656199935918,1.26404494382022,1.29645635263613,1.30133825565298,1.26962169259446,1.33412042502952,1.36425648021828,1.35440180586907,1.34462522239417,1.29189669266143,1.2656199935918,1.31361128142244,1.33262260127932,1.31229344558927,1.31294443074681,1.31294443074681,1.44782015370251,1.36101499423299,1.42767220190636,1.42838216367628,1.41192191034472,1.42567841231268,1.31381381381381,1.41757879139463,1.47590598650355,1.45264514796479,1.43039010639265,1.49843062287521,1.42149462162672,1.45426712590892,1.3718030014796,1.4406779661017,1.38147314248955,1.36845386533666,1.43391521197007,1.36973083635387,1.42210730446025,1.42126726284208,1.37992253066495,1.38528678304239,1.41620879120879,1.47883732789393,1.42414972268783,1.42128279883382,1.41821062896148,1.27979382191438,1.43107450052337,1.61849100174422,1.63824204657265,1.75182481751825,1.6330585419595,1.57104716680937,1.62451541443603,1.70276432031918,1.61441499676794,1.61817643728818,1.55516381460143,1.52687867547005,1.51928912507199,1.53414662848625,1.76682728980599,1.81965224423777,1.70242760360005,1.75903496949176,1.67020010414342,1.73207902564011,1.70669883224949,1.70489770613763,1.67637471003607,1.57371617890668,1.54428904428904,1.62954915806627,1.71767778771763
"San Jose","CA","San Jose-Sunnyvale-Santa Clara","Santa Clara County",9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.52949745083758,1.72143974960876,1.68701894522374,1.69718317461454,1.74512987012987,1.79569034317638,1.85097294731846,1.71399162614422,1.72574626865672,1.85231366157095,1.85158046989295,1.77151153904937,1.85465352556821,1.71725239616613,1.75850070074766,1.81635557578772,1.78893330844749,1.94875354206577,1.81516266472238,1.78101243353056,1.76446460693036,1.88256387270282,1.76570139150056,1.65313107977381,1.87134146016094
"Jacksonville","FL","Jacksonville","Duval County",10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.668171548799329,0.68688435232228,0.673067226361104,0.674262152621792,0.693740593392483,0.713851761846902,0.703324808184143,0.692065491183879,0.685530921820303,0.703324808184143,0.692723820614002,0.675472830981687,0.68073519400953,0.650921658986175,0.610749185667752,0.629251700680272,0.633253301320528,0.661375661375661,0.666503594064712,0.636421260695597,0.64894193726678,0.652570813583294,0.6498329001114,0.653954646098038,0.669689962131187
