RegionID,RegionName,StateName,SizeRank,2008-03,2008-04,2008-05,2008-06,2008-07,2008-08,2008-09,2008-10,2008-11,2008-12,2009-01,2009-02,2009-03,2009-04,2009-05,2009-06,2009-07,2009-08,2009-09,2009-10,2009-11,2009-12,2010-01,2010-02,2010-03,2010-04,2010-05,2010-06,2010-07,2010-08,2010-09,2010-10,2010-11,2010-12,2011-01,2011-02,2011-03,2011-04,2011-05,2011-06,2011-07,2011-08,2011-09,2011-10,2011-11,2011-12,2012-01,2012-02,2012-03,2012-04,2012-05,2012-06,2012-07,2012-08,2012-09,2012-10,2012-11,2012-12,2013-01,2013-02,2013-03,2013-04,2013-05,2013-06,2013-07,2013-08,2013-09,2013-10,2013-11,2013-12,2014-01,2014-02,2014-03,2014-04,2014-05,2014-06,2014-07,2014-08,2014-09,2014-10,2014-11,2014-12,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,2017-11,2017-12,2018-01,2018-02,2018-03,2018-04,2018-05,2018-06,2018-07,2018-08,2018-09,2018-10,2018-11,2018-12,2019-01
5976,Milwaukee,Wisconsin,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,175600,173800,172600,167300,171900,176800,179200,18e4,180700,182500,185600,184600,184900,185100,191400,195700,197600,195400,191700,189e3,188200,190300,191e3,192500,202100,203700,206400,196500,199600,198900,203400,207800,208400,206300,202500,203500,214300,
18203,Fresno,California,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,147200,147e3,147400,146900,146800,148400,147e3,147100,143900,142200,140400,14e4,142900,144400,146700,147800,151200,154200,154100,153400,154500,157600,161100,162800,164300,167e3,174400,177700,177600,177800,180700,184600,184100,185800,186700,186300,186400,186200,188200,189900,196100,198100,198700,196100,195400,197900,200700,204200,204500,204800,205400,207100,207600,207600,208900,212e3,216100,217800,215900,216900,219e3,223600,222700,223200,223700,224500,226700,228100,230500,228900,230100,232100,236e3,236800,240700,240400,243100,243100,246800,247800,248500,247800,245600,247300,248e3,254100,254100,256600,
40152,Omaha,Nebraska,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,130700,130700,129500,131200,132600,133500,132200,129700,128900,127e3,128e3,128600,129800,129900,129600,130200,130300,131400,131800,131200,130800,128800,13e4,129900,132e3,132100,132600,132100,132500,131800,132400,132e3,132800,132600,133600,133500,134300,134400,135800,135600,134300,134600,135e3,137300,135900,136200,135900,136800,136700,136400,136500,137300,138300,139200,139200,138800,139900,140800,143500,144100,145200,145900,146e3,147800,146600,147100,147200,148900,149300,149600,149900,151200,151800,152700,152600,152100,153200,154600,156e3,157100,158600,160100,160100,16e4,160700,162400,164300,165900,165200,165200,164900,168200,169400,170900,171200,173e3,173700,174100,174200,,
23429,Albuquerque,New Mexico,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,169900,169500,170500,169300,170500,171900,172600,170600,169700,169100,170100,170600,171100,170800,171800,172900,173400,172400,171600,172900,174300,175500,173e3,172600,173200,176200,177100,177100,176100,177900,180300,183e3,180700,179100,178600,180900,181600,182200,182e3,182e3,181700,182100,181900,182400,183600,186e3,186300,186700,185400,186100,186400,188e3,189300,188400,189e3,188300,191500,192e3,192700,193400,195100,198300,198700,199600,198100,199e3,198500,199600,
54047,Raleigh,North Carolina,30,209200,213500,212900,210300,210100,209200,208800,207200,203300,202700,205200,207200,207400,204300,205400,205e3,206300,207500,203600,200900,197700,200300,201e3,198600,199e3,198600,200100,201600,200500,201400,198900,196900,198e3,196600,201400,199600,200200,198500,196300,194500,191900,194400,192200,191e3,189400,193400,190100,191400,192600,196500,193600,188800,189200,193e3,194700,193900,193500,195700,198e3,197500,196700,196100,194900,195500,196900,199500,200800,202900,202500,205400,204300,205600,204600,205900,207300,207200,209500,207500,204700,200100,204700,206e3,205900,205800,211e3,217700,217500,218300,218e3,218100,218400,220400,221200,222700,221900,221500,221500,223e3,226700,230600,231800,232900,232100,233100,234100,234400,237700,239700,243400,245100,246800,247e3,246900,248800,245e3,244400,244800,249700,252100,254100,258200,260400,261800,263400,262700,262200,258e3,255500,256300,258100,
19331,Mesa,Arizona,31,241500,235700,230100,224600,221100,218e3,213400,208800,200300,199100,192700,191700,186300,182500,175200,169500,164300,161200,156800,154300,150900,150800,150500,153500,151800,151400,147800,147100,145300,143400,143200,141200,142e3,141200,143800,142600,141100,138400,137100,136800,134900,130800,129400,128600,130100,13e4,134200,135900,138300,137600,140900,142e3,145200,147300,149100,149700,150900,154700,158e3,161700,164200,166200,167700,169400,173400,177700,179800,178100,177400,179300,183400,185200,187900,188400,190100,190300,191e3,192200,191400,192500,193100,195e3,196200,201300,202200,203300,200700,202800,204300,205400,206500,209800,211700,216300,216e3,220600,219e3,221e3,219900,220800,222400,223900,226700,228300,229900,231300,233400,237900,240300,243500,240800,241200,241600,243500,245900,246900,249e3,250100,250900,255100,256800,258e3,254800,254100,256500,258400,259500,257800,258400,26e4,
37211,Atlanta,Georgia,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,185700,185600,184100,184800,188e3,189600,191200,193900,195400,197300,197900,201900,204300,205600,204800,204900,204900,205200,206200,208e3,209400,210700,211700,216100,220400,222500,220500,220100,222100,227100,231600,233200,235500,235e3,
46298,Long Beach,California,33,527300,520500,514100,513600,511600,496200,488900,482800,483500,475500,471100,460700,453600,441500,436600,429900,431200,435300,438200,440100,437500,44e4,444700,444800,448100,430500,430800,425e3,429500,422400,419100,424500,424800,424600,416300,411300,410300,405300,408900,399700,406100,402900,404500,401600,399600,403e3,394600,386400,382200,388900,403600,403100,410200,414800,426300,431700,431800,437e3,432800,433300,435900,442400,451e3,455800,466500,481500,488200,493700,492200,492900,495100,496400,497300,502e3,500600,508300,518500,523900,527100,515200,514600,515e3,521500,529100,536600,541700,539300,541700,544400,556400,558700,561300,562100,566e3,560900,562900,562900,574200,579400,584700,587600,584400,588300,591100,598700,608900,615600,619200,618300,613300,619300,619300,623200,640100,642400,652200,638800,645900,645100,652900,660800,671900,673900,671200,673600,680900,685400,686300,,,
4172,Colorado Springs,Colorado,34,214800,214700,209600,207600,207100,206400,204600,202700,200500,200200,199300,199800,200600,201900,203100,200800,199800,198300,199400,199300,198e3,198400,198900,203100,203300,200900,197200,195800,197800,199500,199600,200200,198100,197500,196900,197e3,196300,193100,190100,188700,190200,188600,188200,186800,189200,190700,189300,193e3,193100,194400,189100,189700,191200,193600,190300,188600,189500,193500,195600,196100,196400,199100,199400,201200,201300,203e3,203900,204400,207e3,207200,208800,205800,205800,203400,205100,207100,21e4,210400,212400,211500,212400,209800,212700,217e3,219e3,219600,218600,220200,221700,221100,221900,224300,227800,229900,230600,235100,237300,239300,237400,237600,237800,24e4,242800,244900,245400,246700,248100,250800,253800,255200,256e3,255800,258900,261200,263100,265700,267800,271700,274600,281500,285300,287600,287200,288300,29e4,290300,291400,292800,295100,295700,
41515,Virginia Beach,Virginia,35,245500,244800,242400,243500,243100,244600,244200,241600,237300,232900,232300,234e3,236700,235700,235100,234500,234800,233900,232400,231300,232e3,233900,235900,235100,231300,229500,228e3,229500,228400,227800,226100,226e3,223700,222300,220300,221e3,220900,219700,217600,217100,215600,215900,213300,213600,213e3,213100,210900,210700,209700,209500,208300,208200,208600,211500,212600,215700,215e3,213100,211100,208e3,208800,208900,211500,213500,215600,213700,212600,212800,216100,215800,214400,213300,216100,216300,217700,216200,216500,214600,213600,213600,215100,217300,218100,217400,218700,219700,219900,219e3,218700,220100,222500,222800,221300,220400,221200,222700,221700,221400,220700,221900,222e3,224600,225500,224900,224800,226900,229500,231300,230500,231700,230700,231800,232400,233300,234e3,234800,234e3,232900,233200,234600,236300,237e3,238800,239100,238800,238400,239100,24e4,241800,239200,
