"Date","RegionID","RegionName","State","Metro","County","SizeRank","Zhvi","MoM","QoQ","YoY","5Year","10Year","PeakMonth","PeakQuarter","PeakZHVI","PctFallFromPeak","LastTimeAtCurrZHVI"
2019-01-31,397374,"Dunkirk","WI","Madison","Dane County",7292,252400,0.011623246492986,0.0189745660072669,0.0202101859337106,0.043294030771444,0.0190959861377842,"2018-05","2018-Q2",253700,-0.00512416239653134,"2018-05"
2019-01-31,23438,"Algoma","WI","Green Bay","Kewaunee County",7293,119300,0.0084530853761623,0.028448275862069,0.112873134328358,0.0526590983928388,0.0193431793802818,"2019-01","2019-Q1",119300,0,"2019-01"
2019-01-31,32988,"Mount Shasta","CA",,"Siskiyou County",7294,311500,0.0126788036410923,0.0613287904599659,0.0559322033898305,0.078177017217179,0.00501522270331622,"2006-07","2006-Q3",394600,-0.210593005575266,"2004-12"
2019-01-31,395467,"Blair","PA","Altoona","Blair County",7295,188900,0,0.0117836100696304,0.0448008849557522,0.0134424268554714,0.019844654997895,"2018-07","2018-Q3",189000,-0.000529100529100529,"2018-07"
2019-01-31,41335,"Union Gap","WA","Yakima","Yakima County",7296,143100,-0.00831600831600832,0.0514327700220426,0.0990783410138249,0.105667001575359,0.0452794497749687,"2018-12","2018-Q4",144300,-0.00831600831600832,"2018-12"
2019-01-31,16702,"Albany","OH","Athens","Athens County",7297,137400,0.0043859649122807,0.0230826507818317,0.0585516178736518,0.0396922951564549,0.0195629156630044,"2019-01","2019-Q1",137400,0,"2019-01"
2019-01-31,48687,"Blue Grass","IA","Davenport-Moline-Rock Island","Scott County",7298,227800,-0.00480559196155526,-0.00740740740740741,0.028906955736224,0.0429522001656977,0.0248026450265721,"2018-11","2018-Q4",229900,-0.00913440626359287,"2018-08"
2019-01-31,55349,"Blowing Rock","NC","Boone","Watauga County",7299,366700,0.00493285831734722,0.0432432432432432,0.12588271415413,0.0304033586300438,0.00181788078773937,"2007-09","2007-Q3",437000,-0.160869565217391,"2006-04"
2019-01-31,18744,"Jeffersonville","KY","Mount Sterling","Montgomery County",7300,98400,0,-0.00606060606060606,0.0730643402399128,0.030682606495317,,"2010-07","2010-Q3",103300,-0.0474346563407551,
2019-01-31,35511,"Glyndon","MN","Fargo","Clay County",7301,214400,-0.00139729855612483,-0.00786672836649699,0.032258064516129,0.0471334344308318,0.0339114776334664,"2018-10","2018-Q4",216100,-0.00786672836649699,"2018-08"
2019-01-31,3521,"Ballston Spa","NY","Albany-Schenectady-Troy","Saratoga County",7302,207500,-0.0109628217349857,-0.0317312179188054,-0.0644724977457169,0.0270236662083347,0.016485574473718,"2018-01","2018-Q1",221800,-0.0644724977457169,"2017-02"
2019-01-31,45715,"Henagar","AL","Fort Payne","De Kalb County",7303,99500,0.0101522842639594,0.0278925619834711,0.0815217391304348,0.0334658417078282,0.0106481946547818,"2019-01","2019-Q1",99500,0,"2019-01"
2019-01-31,23736,"Bloomfield","KY","Bardstown","Nelson County",7304,156900,0.00255591054313099,0.021484375,0.131218457101658,0.0830260790633293,0.0391171767708114,"2019-01","2019-Q1",156900,0,"2019-01"
2019-01-31,397826,"Chatham","MA","Barnstable Town","Barnstable County",7305,666400,-0.000899550224887556,0.00452215857702743,0.103493955952972,0.041040672253372,0.0217288393912514,"2018-12","2018-Q4",667000,-0.000899550224887556,"2018-12"
2019-01-31,30759,"Carlisle","OH","Cincinnati","Warren County",7306,154200,0.00850228907782865,0.0266311584553928,0.13215859030837,0.0519571375514272,0.0236994131088728,"2019-01","2019-Q1",154200,0,"2019-01"
2019-01-31,53845,"Pecatonica","IL","Rockford","Winnebago County",7307,123000,-0.00485436893203883,-0.000812347684809098,0.0530821917808219,0.0296138345245398,-0.0000812644796622797,"2007-12","2007-Q4",129500,-0.0501930501930502,"2006-12"
2019-01-31,14104,"Taylorsville","MS",,"Smith County",7308,118400,0.0277777777777778,0.0599820948970457,0.321428571428571,,,"2019-01","2019-Q1",118400,0,"2019-01"
2019-01-31,12228,"Kutztown","PA","Reading","Berks County",7309,166900,0.00180072028811525,0.0139732685297691,0.023298589822195,0.0311044561005667,0.00102432121709328,"2008-04","2008-Q2",174300,-0.04245553643144,"2006-06"
2019-01-31,398232,"Lower Oxford","PA","Philadelphia-Camden-Wilmington","Chester County",7310,248100,-0.00160965794768612,-0.00997605746209098,0.0269039735099338,0.0295321033786833,0.00265836967867239,"2007-04","2007-Q2",263600,-0.0588012139605463,"2006-02"
2019-01-31,39098,"Idaho Springs","CO","Denver-Aurora-Lakewood","Clear Creek County",7311,314800,0.00159083678014636,0.0135222150676111,0.12831541218638,0.104749848638982,0.0521760474849131,"2019-01","2019-Q1",314800,0,"2019-01"
2019-01-31,13224,"Paxton","MA","Worcester","Worcester County",7312,319100,0.00345911949685535,0.00662460567823344,0.0117311350665821,0.0476831204584691,0.0193682517642817,"2005-11","2005-Q4",326800,-0.023561811505508,"2005-04"
2019-01-31,33126,"Noble","OK","Oklahoma City","Cleveland County",7313,120800,0.00499168053244592,0.00582847626977519,0.0307167235494881,0.0658951440467024,0.0306745386244347,"2019-01","2019-Q1",120800,0,"2019-01"
2019-01-31,34619,"Wakefield","NH",,"Carroll County",7314,255300,0.0102888800949743,0.0411908646003263,0.105673451710697,0.0760080233262723,0.0216881574729715,"2019-01","2019-Q1",255300,0,"2019-01"
2019-01-31,43405,"Sanderson","FL","Jacksonville","Baker County",7315,99200,-0.00301507537688442,0.0112130479102956,0.156177156177156,0.0800443264276671,0.0186049265998218,"2006-09","2006-Q3",100400,-0.0119521912350598,"2006-07"
2019-01-31,32109,"Hugoton","KS",,"Stevens County",7316,101500,-0.00587659157688541,-0.0531716417910448,-0.0945584299732382,0.0225299531857182,,"2017-06","2017-Q2",114300,-0.111986001749781,"2016-01"
2019-01-31,397577,"Sugar Creek","WI","Whitewater-Elkhorn","Walworth County",7317,185000,-0.00161899622234215,0.00216684723726977,0.0260676650027732,0.0406255995951226,0.00719568875053156,"2018-11","2018-Q4",185500,-0.00269541778975741,"2018-11"
2019-01-31,13743,"Scottsburg","IN","Louisville/Jefferson County","Scott County",7318,99100,0.00202224469160768,0.00711382113821138,0.126136363636364,0.0461150115850555,0.0170324726344397,"2019-01","2019-Q1",99100,0,"2019-01"
2019-01-31,397127,"Lenox","MA","Pittsfield","Berkshire County",7319,320800,-0.00155617802676626,-0.00834621329211747,0.00848789688777114,0.0214514009781808,0.00224058244130232,"2006-03","2006-Q1",362400,-0.114790286975717,"2005-03"
2019-01-31,17038,"Bishop","TX","Corpus Christi","Nueces County",7320,107400,0.00373831775700935,0.0336862367661213,0.241618497109827,0.0551937856313751,0.0355971347761912,"1996-01","1996-Q1",108400,-0.00922509225092251,
2019-01-31,36771,"Marion","MA","Boston-Cambridge-Newton","Plymouth County",7321,491400,0.00614250614250614,0.022684703433923,0.0604229607250755,0.0439033739885184,0.0185238064117399,"2005-09","2005-Q3",495200,-0.00767366720516963,"2005-06"
2019-01-31,55065,"Wayne","IL","Chicago-Naperville-Elgin","DuPage County",7322,464100,0.000431127398146152,0.00454545454545455,0.0249558303886926,0.0232086817912613,-0.0175506257527434,"2007-07","2007-Q3",639500,-0.274276778733385,"2002-05"
2019-01-31,43155,"Tecumseh","OK","Shawnee","Pottawatomie County",7323,68400,0.00440528634361234,0.0254872563718141,0.14,0.053535313442119,0.0200214956185794,"2019-01","2019-Q1",68400,0,"2019-01"
2019-01-31,217071,"Westmont","PA","Johnstown","Cambria County",7324,111700,-0.00356824264049955,-0.00799289520426288,0.0182315405651778,-0.00922859841257417,-0.0228864140463014,"2006-06","2006-Q2",146900,-0.239618788291355,"2004-01"
2019-01-31,112600,"Picture Rocks","AZ","Tucson","Pima County",7325,221000,0.00821167883211679,0.0259981429897864,0.154046997389034,0.0733864167525795,0.015603446426026,"2007-08","2007-Q3",231500,-0.0453563714902808,"2007-03"
