"RegionName","State","Metro","CountyName","SizeRank","2010-01","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09","2016-10","2016-11","2016-12","2017-01","2017-02","2017-03","2017-04","2017-05","2017-06","2017-07","2017-08","2017-09","2017-10","2017-11","2017-12","2018-01","2018-02","2018-03","2018-04","2018-05","2018-06","2018-07","2018-08","2018-09","2018-10","2018-11","2018-12","2019-01"
"Bettendorf","IA","Davenport-Moline-Rock Island","Scott County",388,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,454900,454900,449900,420445.5,475000,499900,497450,499900,508900,529900,484900,489900,508438,475000,467400,460950,474900,474900,462000,453450,449000,449000,459000,449450,425950,454500,454500,459000,474900,489900,484500,479900,499990,517900,520000,504900,509900,502400,499000,479000,489000,499000,499000,499000,549000,527900,534900,522450,546750,530000,549250,535000,499900,499900,492900,499450,529900,535000,554950,569900,569900,559950,547450,555000,515000,492450,479500,494950,517500,525000
"Royal Palm Beach","FL","Miami-Fort Lauderdale-West Palm Beach","Palm Beach County",389,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4e+05,394900,397450,409000,395000,399000,414900,414950,415000,415000,449900,439950,449995,454950,462400,454950,459900,459900,459900,475000,449000,449995,444195,449900,435995,432450,435000,429900,425190,422450,424900
"Leander","TX","Austin-Round Rock","Williamson County",390,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,530881,553336.5,569950,540000,475000,493244,455782,450322.5,484900,484900,508900,465990,496945,506950,505900,467990,479950,501950,480400,489900,489047,524900,519900,502617,512945,509990,523900,516900
"Flowery Branch","GA","Gainesville","Hall County",391,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,378032,370722,378032,359493,378032,379046,368092,354026,364181.5,390000,399900,399900,450000,465000,454931,472462,459965.5,454931,424900,427400,454590,459000,435000,429000,454000,425000,475000,460191.5,484184,484184,484184,484184,519900,501343.5,480868,424900,437500,420000,425400,424900,417450,416950,424900,402175,414000,390000,395000,399900,404900,442400,369900,386300,386300,428700
"Leawood","KS","Kansas City","Johnson County",392,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,799000,725000,725000,749925,747475,699900,699900,725000,699825,699750,677000,669000,724475,669450,699000,717000,725000,7e+05,748950,654500,708488,715000,720000,715000,715000,750000,799000,889950,894475,799000,795000,775000,729450,699000,742450,742450,699500,685000,745000,699000,747475,839500,827000,975000,995000,992000,899950,785000,7e+05,749950,775000,712500,750000,749950,749000,799475,749000,701000,699970
"Myrtle Beach","SC","Myrtle Beach-Conway-North Myrtle Beach","Horry County",393,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,559055,544450,576555,595000,639700,649900,625000,664450,649900,649900,649000,625000,599700,607500,625000,637500,673950,736500,654900,676450,671950,719950,697250,691950,697499.5,687000,750000,654900,679000,654900,659000
"Cottonwood Heights","UT","Salt Lake City","Salt Lake County",394,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,549450,562450,545000,534900,594950,620000,569000,549000,589450,577450,599900,599900,639000,639000,644450,649900,672450,689000,669900,644000,625000,625000,627000,665000,650000,639000,665000,672000
"Fairhope","AL","Daphne-Fairhope-Foley","Baldwin County",395,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,486000,439377,419127.5,429255,406260,403520,416387.5,487000,457450,450000,460000,458862.5,468225,449500,469450,464900,469900,449500,410000,345000,337900,370900,354500,341775,348650,387450,399900,410015,407840,407840,417832,425000,437250,449500,468940
"Irmo","SC","Columbia","Richland County",396,,,,,,,,,,,,,324994,279500,304900,267200,267200,264450,282400,265142.5,304900,268172.5,265985,270000,266317.5,263885,260810,264392.5,264950,274376,272490,294640.5,299381,299190.5,299000,284597.5,271946,274425,274296,279800.5,275000,284999,283745,276900,279900,289400,299945,289563,290340,289900,298900,291600,297640.5,296995,294000,302450,307400,304900,305000,305000,303243,290000,289950,290000,299017,299017,3e+05,302683,295780,303312,298338,285990,292450,294900,310000,312450,324900,339900,319900,319900,332450,340000,335000,315925,326975,325000,335000,329000,329000,319900,313327.5,316885,316900,314990,304900,308000,316900,314990,319195,325000,330900,339900,334950,321945,321945,316950,319900,323995,325000
"Camas","WA","Portland-Vancouver-Hillsboro","Clark County",397,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,466700,469000,489000,482000,480000,473000,549900,554950,544787.5,554950,554950,564900,539900,564900,554900,573000,597500,6e+05,622560,624950,6e+05,699950,712450,712400,724950,699900,599900,597000,638500,659000,649850,633725,616900,609450,623950,624000,599850,569900,612450,655000,637500,599900,559000,612425,599000,599900,677449.5,689900,712475,727475,714900,707425,699950,779925,785000,779975,765000,737000,749000,759900,759900,699950,699900,622450,639900,625000,704725,683750,662450,635000,649750,635000
