RegionID,RegionName,StateName,SizeRank,2008-03,2008-04,2008-05,2008-06,2008-07,2008-08,2008-09,2008-10,2008-11,2008-12,2009-01,2009-02,2009-03,2009-04,2009-05,2009-06,2009-07,2009-08,2009-09,2009-10,2009-11,2009-12,2010-01,2010-02,2010-03,2010-04,2010-05,2010-06,2010-07,2010-08,2010-09,2010-10,2010-11,2010-12,2011-01,2011-02,2011-03,2011-04,2011-05,2011-06,2011-07,2011-08,2011-09,2011-10,2011-11,2011-12,2012-01,2012-02,2012-03,2012-04,2012-05,2012-06,2012-07,2012-08,2012-09,2012-10,2012-11,2012-12,2013-01,2013-02,2013-03,2013-04,2013-05,2013-06,2013-07,2013-08,2013-09,2013-10,2013-11,2013-12,2014-01,2014-02,2014-03,2014-04,2014-05,2014-06,2014-07,2014-08,2014-09,2014-10,2014-11,2014-12,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,2017-11,2017-12,2018-01,2018-02,2018-03,2018-04,2018-05,2018-06,2018-07,2018-08,2018-09,2018-10,2018-11,2018-12,2019-01
53925,Pleasant Hill,California,798,393500,380900,370300,363100,348200,344500,353500,359400,363600,360400,346400,325600,323200,289400,285200,282400,314300,319900,331300,321600,321300,310800,306600,321300,322800,320800,301800,305200,293500,304400,266100,268500,253800,273700,256700,261600,252400,287500,286200,286400,262600,247500,257700,236500,241500,230500,258400,266e3,268e3,281900,284100,299100,290300,288400,300100,311800,319300,324200,319200,273800,269300,277600,321700,340400,361500,397300,385500,390800,379e3,383500,391600,409500,431900,428200,424100,412400,413200,401300,378100,383500,408700,453600,455e3,438e3,422100,420300,440600,467200,488100,496100,494100,491700,491700,508500,510300,525100,511100,512800,513800,499e3,491100,481300,504e3,521900,502300,482200,476300,480600,509300,535600,545700,548900,525600,522500,541e3,533700,567500,572100,563800,549900,544e3,572300,589e3,588e3,605500,601600,621300,627500,634700,638800,622200
22517,Ocoee,Florida,799,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,72800,81500,79500,78300,77300,80900,82e3,82900,83100,83600,87100,87300,91600,86400,9e4,87e3,86e3,84500,86900,91700,101400,105700,87100,85300,83500,102800,100600,105200,111800,121200,129800,132600,127600,124200,126100,124500,119100,116600,126300,130900,132600,133700,149900,150700,146e3,135800,147300,142700,128200,124800,130400,
26240,Oak Harbor,Washington,800,235400,228900,242800,228200,225200,220300,229400,231800,225700,215200,211900,212400,230800,231600,233800,209500,202200,196800,206200,208800,206700,197800,202800,200700,210200,200400,205300,183500,183e3,168500,175100,182800,193100,194400,195400,188200,195300,184600,183800,172800,169800,177100,172200,165300,161e3,161200,162e3,159e3,162500,154700,157600,155300,165300,158700,151900,159500,165800,176e3,169800,164100,162900,166500,18e4,178200,178100,171100,171e3,176200,161500,164700,163e3,178300,179200,184500,186600,172400,164700,151900,165800,166e3,178400,179300,179e3,175400,195700,191200,191900,171800,176600,180100,179600,178300,173e3,177600,186400,197500,212600,213400,214300,207800,216700,219400,221800,22e4,223200,221200,222300,225800,256100,259400,274900,248800,251e3,231800,242900,245800,253600,250100,259e3,254100,274900,268100,282200,264300,265100,259800,265e3,271800,268100,271300,285100
53969,Portage,Indiana,801,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100300,99900,109200,110400,108800,111500,111100,112500,112200,104500,100600,103e3,113900,118400,118200,119100,116900,110600,107400,114400,118600,120800,120100,120600,121700,117e3,116300,116100,117100,123e3,124200,126900,126200,125600,122500,119900,121700,127200,130500,130800,133500,130900,133e3,125200,128700,124500,124600,122400,129700,139e3,135500,134400,131700,131400,131400,133400,140700,
50889,Battle Ground,Washington,802,,,,,,,,,,,,,,,183400,181700,184300,182400,187700,183700,178600,176200,181400,178800,179100,173600,179300,174100,174e3,17e4,172700,169200,168700,162300,167900,160200,165800,157100,164500,161200,156200,152200,150300,156600,141300,142800,144200,152800,154600,146500,155900,154500,160200,154600,152700,155e3,162500,158800,169e3,164300,170700,163500,168700,172800,173800,176800,178500,183500,183900,182800,177900,181700,182100,189900,188800,192700,194700,195500,195100,196300,196900,202400,201400,206800,21e4,210400,207700,206e3,210300,216200,219400,220100,223100,226900,234400,233600,237700,237400,243500,246200,246200,242700,245e3,248400,258900,256700,261400,260600,265e3,264700,266900,268100,271800,275100,279200,279200,277800,284100,289700,285800,281100,284100,293600,300300,297100,297400,294100,295800,296600,,
51273,Carmel,New York,803,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,244600,255200,241800,226700,228600,235900,254900,246900,245300,204800,210800,207800,246400,228700,214700,197800,195500,194e3,197500,194600,204300,195200,195900,190600,199100,198900,231600,241400,259500,243100,258400,263500,265100,242800,259500,274700,286100,255900,249e3,263400,301200,304300,
12868,Mount Vernon,Virginia,804,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,144800,134700,131600,130400,138600,146700,138200,149500,150700,155600,156800,155800,155900,158400,162e3,165200,165700,169800,173e3,168500,164200,165300,172700,176600,171800,166500,157200,148100,143100,148100,160500,170700,175e3,168900,161900,158900,171600,174300,166500,158100,160100,160900,160400,163300,171e3,172900,171e3,171200,173200,199900,205600,198400,174200,167400,169400,163900,162200,163500,176500,177600,176700,167900,172400,166900,162400,156600,166100,181500,19e4,190800,181700,183200,191700,19e4,178900,
40761,Sapulpa,Oklahoma,805,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44800,47200,53200,57500,56800,60200,54900,51800,47300,52e3,59100,58200,55800,49100,50900,54400,52400,58600,55400,59300,51400,50800,55100,63200,64e3,53400,54700,
32156,Inver Grove Heights,Minnesota,806,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,122700,120900,118500,118100,119300,125300,129200,137200,135200,126300,118200,121e3,127800,138300,138900,142700,14e4,138700,137700,134e3,135700,13e4,133200,120900,125300,125900,135100,137600,143700,146500,146500,142700,146300,148800,151600,146800,148200,152900,159300,151400,152200,152200,158800,159200,160100,164300,163e3,166900,167500,159800,161400,158500,159900,156300,160100,169400,169600,173e3,174100,176700,172800,167e3,172600,166100,175300,173300,181600,175200,173400,177900,185500,188e3,194300
54058,Randolph,Massachusetts,807,,,,,,,,,,,,,,,,,,,,,,,,,,,211700,209700,208700,202300,209300,205300,199600,185700,186200,188900,210900,216400,210300,184500,179300,183500,181e3,172700,177700,177e3,184500,164600,177400,175100,187500,178100,165800,166900,180400,190300,184100,170100,176300,181300,187300,183600,198200,198700,203300,194300,195900,194e3,194600,201200,201600,207700,205700,212600,212500,225100,223e3,217300,213400,227600,238600,235900,225400,217500,233900,227900,232200,222300,229300,235600,237700,243700,238500,223700,225200,230300,249200,249400,251900,247400,232600,232400,234600,246900,250500,255600,261700,274e3,276500,281400,258100,255300,257200,275100,276100,278200,277700,271200,251500,271800,292500,310300,285600,284100,296100,307400,299400,292700,295800,297400,
