"RegionName","State","Metro","CountyName","SizeRank","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09","2016-10","2016-11","2016-12","2017-01","2017-02","2017-03","2017-04","2017-05","2017-06","2017-07","2017-08","2017-09","2017-10","2017-11","2017-12","2018-01","2018-02","2018-03","2018-04","2018-05","2018-06","2018-07","2018-08","2018-09","2018-10","2018-11","2018-12","2019-01"
"New York","NY","New York-Newark-Jersey City","Queens County",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.33333333333333,3.33333333333333,3.38983050847458,3.3974358974359,3.33333333333333,3.27272727272727,3.24875,3.26666666666667,3.25,3.25,3.35718942074874,3.41176470588235,3.38461538461538,3.48875,3.4,3.34571236921457,3.45,3.21532999164578,3.3125,3.37692307692308,3.375,3.33333333333333,3.375,3.43373493975904,3.42857142857143,3.43419788664745,3.47368421052632,3.38449111470113,3.28571428571429,3.25,3.25,3.21428571428571,3.19444444444444,3.19333333333333,3.25,3.30783938814532,3.3,3.32583333333333,3.33333333333333,3.2781746031746,3.1968031968032,3.14574358974359,3.11111111111111,3.125
"Los Angeles","CA","Los Angeles-Long Beach-Anaheim","Los Angeles County",2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.74180107526882,1.6875,1.70731707317073,1.73478260869565,1.6969696969697,1.69845735027223,1.7097619047619,1.7,1.66290322580645,1.69857142857143,1.67888571428571,1.6875,1.77222222222222,1.77667297979798,1.75,1.7975,1.824600456621,1.91666666666667,2,1.99166666666667,1.88888888888889,1.99275362318841,2,1.99333333333333,1.92425167990226,2.05263157894737,2.08333333333333,2.02304147465438,2.10144927536232,2.02156334231806,2.125,2.07692307692308,2.07291027999183,2.05110441767068,1.94117647058824,2.18181818181818,2.10555555555556,2.11651583710407,2.2,2.275,2.30615384615385,2.25,2.24832332354533,2.30168539325843,2.29490740740741,2.24263771186441,2.17647058823529,2.21111111111111,2.26000860955661,2.20890974967062,2.18090277777778,2.24801061007958,2.26315789473684,2.21518987341772,2.28392857142857,2.29166666666667,2.26,2.30642211157403,2.2991317671093,2.35,2.34098939929329
"Chicago","IL","Chicago-Naperville-Elgin","Cook County",3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.8125,1.875,1.91666666666667,1.93714546191248,1.96178188899708,1.85,1.87,1.91666666666667,1.92857142857143,1.85,1.895,1.9,1.86875,1.86875,1.86915760869565,1.85786163522013,1.9375,1.94148719066395,2.08852941738848,2.11899791231733,2.12,2.03724056603774,2.07142857142857,2.1,2.1,2.1,2.18181818181818,2.25133256961079,2.34935999774172,2.37824983128194,2.20588235294118,2.09459459459459,1.97790697674419,2.05555555555556
"Houston","TX","Houston-The Woodlands-Sugar Land","Harris County",4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.2785016286645,1.40048309178744,1.18518518518519,1.14583333333333,1.14583333333333,1.29678683517582,1.16961331679074,1.26082942898085,1.34827235772358,1.5003937007874,1.5225,1.28476821192053,1.19284294234592,1.26050420168067,1.25377626235056,1.14821200510856,1.16987179487179,1.22944078947368,1.16564417177914,1.16374269005848,1.215746996997,1.22727272727273,1.16402116402116,1.19218500797448,1.14810281517748,1.19061724215753,1.18416501976285,1.25668449197861,1.24416796267496,1.19575856443719,1.23333333333333,1.26162472417336,1.25,1.25,1.25410932067347,1.23167381399089,1.21932515337423,1.21350364963504,1.16458333333333,1.19230769230769,1.2526518804243,1.21942934782609,1.21325877094133,1.19139194139194,1.16959064327485,1.15132254750899,1.16987179487179,1.1875,1.15823129251701,1.17647058823529,1.20534188034188,1.20384615384615,1.21507437070938,1.21212121212121,1.19897959183673,1.195,1.16666666666667,1.2,1.17037893541058,1.18402777777778,1.16935483870968,1.18333333333333
"San Antonio","TX","San Antonio-New Braunfels","Bexar County",5,0.719476744186046,0.720849483204134,0.733752620545073,0.678571428571429,0.75,0.729570432794261,0.72,0.760456273764259,0.745456663560112,0.749015748031496,0.75,0.772727272727273,0.76965811965812,0.761538461538461,0.780196078431373,0.833333333333333,0.791666666666667,0.796078431372549,0.802968252893793,0.80379746835443,0.826771653543307,0.826086956521739,0.816455696202532,0.826489275047516,0.848032564450475,0.830587606837607,0.848,0.856164383561644,0.873333333333333,0.898123808723357,0.903279706517378,0.923913043478261,0.921976592977893,0.92443729903537,0.917616037688942,0.917910447761194,0.917910447761194,0.918710918710919,0.92778335005015,0.898316366483947,0.862457722660654,0.869346733668342,0.887896825396825,0.887896825396825,0.93125,0.91765873015873,0.91765873015873,0.897435897435897,0.890939311285373,0.916666666666667,0.933333333333333,0.907845579078456,0.936799410029499,0.927272727272727,0.946315789473684,0.973456079785194,0.947504458144393,0.958083832335329,0.925085130533485,0.902592097445039,0.94488188976378,0.975863966750802,0.970789805141883,0.979974613354712,1.10017385667138,0.951824040885028,0.9975,0.99004496276521,1,1.03333333333333,0.963855421686747,0.999166666666667,0.979557069846678,0.980646114832015,1.03181818181818,1.00729077679913,1.02354830373325,1.05088495575221,1.00449775112444,1,1.00401606425703,1.02543068088597,1.02543068088597,1.02543068088597,1.00574712643678,0.984413453650533,0.983935742971888,0.984413453650533,0.97431487214769,0.97809667673716,0.967413441955194,0.97809667673716,0.959839357429719,0.97809667673716,0.982730263157895,0.991140642303433
"Philadelphia","PA","Philadelphia-Camden-Wilmington","Philadelphia County",6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.3115322319404,1.28479262672811,1.26333333333333,1.27777777777778,1.26404494382022,1.32142857142857,1.3125,1.28461538461538,1.28926955397544,1.25,1.33453670276775,1.31818181818182,1.33333333333333,1.33333333333333,1.35,1.46428571428571,1.47058823529412,1.445,1.375,1.4,1.35714285714286,1.36432926829268,1.39711538461538,1.46076923076923,1.41176470588235,1.455,1.45,1.48570477141906,1.60927622472423,1.5625,1.59688271604938,1.64285714285714,1.55,1.59938271604938,1.46666666666667,1.46875,1.47796474358974,1.58333333333333,1.65326747720365,1.66666666666667,1.64335664335664,1.68429276315789,1.71102661596958,1.69792122538293,1.625,1.63175990675991,1.495,1.5,1.46675170068027,1.5,1.44422615149531,1.5,1.6,1.625,1.625,1.71171171171171,1.66666666666667,1.58333333333333,1.58333333333333,1.5625,1.5625,1.57697984854319
"Phoenix","AZ","Phoenix-Mesa-Scottsdale","Maricopa County",7,,,,,,,,,,,,,,,,,0.822317715149929,0.77392687360179,0.765833333333333,0.775951867816092,0.75,0.752615987635412,0.764705882352941,0.746024659863946,0.765653722426471,0.779595588235294,0.791666666666667,0.785714285714286,0.781893451534666,0.781818181818182,0.77319587628866,0.8,0.8125,0.810430772990613,0.768181818181818,0.78125,0.769230769230769,0.765345368916797,0.769230769230769,0.761545530492899,0.757796352583587,0.765686274509804,0.755821569734613,0.740839086563994,0.755714285714286,0.789473684210526,0.773268398268398,0.77683615819209,0.801944106925881,0.83741935483871,0.841786600496278,0.8125,0.839724680432645,0.850308641975309,0.875,0.877840909090909,0.842890490206029,0.821043056397817,0.825468540829987,0.817647058823529,0.852941176470588,0.869061413673233,0.901664025356577,0.83741935483871,0.869061413673233,0.823529411764706,0.854820418315141,0.862794612794613,0.890371666470801,0.86786404016995,0.909791666666667,0.916666666666667,0.9565,0.984235652952293,1.01242815367551,1.01388888888889,1.00870196251656,1.05555555555556,1.05092592592593,1.07908653846154,1.09,1.08439201451906,1.07158165452207,1.05658198614319,1.05092592592593,1.095,1.12587070339176,1.10714285714286,1.13333333333333,1.12040665856217,1.13377609108159,1.12403846153846,1.12403846153846,1.11111111111111,1.12142857142857,1.14791666666667
"Las Vegas","NV","Las Vegas-Henderson-Paradise","Clark County",8,,,,,,,,,,,,,,,,,,,,,,,,,0.654260701160807,0.697336629162405,0.678571428571429,0.661904761904762,0.676488274203247,0.707213578500707,0.720394736842105,0.721153846153846,0.718157336379958,0.720911674802433,0.708333333333333,0.711237553342816,0.707801418439716,0.707801418439716,0.708884688090737,0.717131524694072,0.721003134796238,0.728155339805825,0.732421875,0.72463768115942,0.709539705976761,0.705980066445183,0.716494845360825,0.701937660729511,0.716630710064722,0.728383458646617,0.733333333333333,0.742574257425743,0.75,0.767008985879333,0.759416767922236,0.745738636363636,0.73700543056633,0.750419463087248,0.758086253369272,0.776332354175409,0.775844299468258,0.772518080210388,0.785714285714286,0.785714285714286,0.807320666295471,0.776754890678941,0.7847533632287,0.781639975041597,0.78125,0.777777777777778,0.8,0.805555555555556,0.81125,0.808314087759815,0.81125,0.80892387081379,0.807223264540338,0.813953488372093,0.829405760596803,0.806823420931305,0.824735178498194,0.881920627143557,0.911083663946902,0.931899641577061,0.840597758405978,0.882726120983149,0.886857707509881,0.866666666666667,0.874192322310908,0.853051058530511,0.849757281553398,0.882352941176471,0.896286870556437,0.907105430873081,0.929054054054054,1
"San Diego","CA","San Diego-Carlsbad","San Diego County",9,,,,,,1.25,1.3,1.38623326959847,1.4547385620915,1.52941176470588,1.39980694980695,1.5,1.54307524536532,1.5,1.5,1.5,1.47213622291022,1.41176470588235,1.46100978059741,1.48600543478261,1.47368421052632,1.5,1.5520120053357,1.57142857142857,1.57685352622061,1.53145695364238,1.53951733089755,1.5458041958042,1.60756897837435,1.595,1.72272727272727,1.74300254452926,1.72009864364982,1.69211195928753,1.7718253968254,1.74561403508772,1.70521390374332,1.71875,1.77777777777778,1.94295261605154,1.83846153846154,1.85908902691511,1.78571428571429,1.8125,1.85,1.83333333333333,1.87261029411765,1.95876288659794,1.9975,2.02314560057377,2.01583434835566,1.94813144329897,2.05154639175258,2.08290902919213,2.08333333333333,2.12202380952381,2.11666666666667,2.21442632170979,2.28475726465982,2.29298276245199,2.29672114822053,2.19160926737633,2.08248472505092,2.05454545454545,2.09090909090909,2.1131803490627,2.13333333333333,2.08333333333333,2.20541427399508,2.11176711022299,2.13403361344538,2.21666666666667,2.23445595854922,2.22222222222222,2.25,2.33333333333333,2.395,2.41071428571429,2.35714285714286,2.36296296296296,2.35714285714286,2.2945408379179,2.27097902097902,2.36220472440945,2.28365384615385,2.26,2.35849056603774,2.38415545590433,2.41666666666667,2.46153846153846,2.46666666666667,2.42142857142857,2.51323529411765,2.52409638554217,2.4601593625498,2.5483843537415
"Dallas","TX","Dallas-Fort Worth-Arlington","Dallas County",10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.42857142857143,1.42857142857143,1.52777777777778,1.4974293059126,1.48927294398093,1.49088541666667,1.63075586446568,1.47619047619048,1.47559171597633,1.56434782608696,1.57142857142857,1.5,1.4,1.34259259259259,1.325,1.325,1.32440476190476,1.31140931031282,1.325,1.325,1.35,1.31381381381381,1.28048780487805,1.32529761904762
